time P_1 P_2 P_{tot}
3.100010000000000154e+00 -1.068804923135860396e-01 1.068804923135860396e-01 0.000000000000000000e+00
3.110009999999999941e+00 -1.062411293511388993e-01 1.062411293511388993e-01 0.000000000000000000e+00
3.120010000000000172e+00 -1.056055910829616501e-01 1.056055910829616501e-01 0.000000000000000000e+00
3.130009999999999959e+00 -1.049738546296382358e-01 1.049738546296382358e-01 0.000000000000000000e+00
3.140010000000000190e+00 -1.043458972488028741e-01 1.043458972488028741e-01 0.000000000000000000e+00
3.150009999999999977e+00 -1.037216963342254133e-01 1.037216963342254133e-01 0.000000000000000000e+00
3.160010000000000208e+00 -1.031012294153338532e-01 1.031012294153338532e-01 0.000000000000000000e+00
3.170009999999999994e+00 -1.024844741512949270e-01 1.024844741512949270e-01 0.000000000000000000e+00
3.180009999999999781e+00 -1.018714083401792703e-01 1.018714083401792703e-01 0.000000000000000000e+00
3.190010000000000012e+00 -1.012620099114439759e-01 1.012620099114439759e-01 0.000000000000000000e+00
3.200009999999999799e+00 -1.006562569259182860e-01 1.006562569259182860e-01 0.000000000000000000e+00
3.210010000000000030e+00 -1.000541275766285848e-01 1.000541275766285848e-01 0.000000000000000000e+00
3.220009999999999817e+00 -9.945560018565019478e-02 9.945560018565019478e-02 0.000000000000000000e+00
3.230010000000000048e+00 -9.886065320480244556e-02 9.886065320480244556e-02 0.000000000000000000e+00
3.240009999999999835e+00 -9.826926522291112853e-02 9.826926522291112853e-02 0.000000000000000000e+00
3.250010000000000066e+00 -9.768141494693323434e-02 9.768141494693323434e-02 0.000000000000000000e+00
3.260009999999999852e+00 -9.709708121448634710e-02 9.709708121448634710e-02 0.000000000000000000e+00
3.270010000000000083e+00 -9.651624298891672837e-02 9.651624298891672837e-02 0.000000000000000000e+00
3.280009999999999870e+00 -9.593887935998721139e-02 9.593887935998721139e-02 0.000000000000000000e+00
3.290010000000000101e+00 -9.536496954343876009e-02 9.536496954343876009e-02 0.000000000000000000e+00
3.300009999999999888e+00 -9.479449287931121515e-02 9.479449287931121515e-02 0.000000000000000000e+00
3.310010000000000119e+00 -9.422742882273514586e-02 9.422742882273514586e-02 0.000000000000000000e+00
3.320009999999999906e+00 -9.366375696334808265e-02 9.366375696334808265e-02 0.000000000000000000e+00
3.330010000000000137e+00 -9.310345700751067322e-02 9.310345700751067322e-02 0.000000000000000000e+00
3.340009999999999923e+00 -9.254650878477656273e-02 9.254650878477656273e-02 0.000000000000000000e+00
3.350010000000000154e+00 -9.199289224270812415e-02 9.199289224270812415e-02 0.000000000000000000e+00
3.360009999999999941e+00 -9.144258745151330470e-02 9.144258745151330470e-02 0.000000000000000000e+00
3.370010000000000172e+00 -9.089557459861340172e-02 9.089557459861340172e-02 0.000000000000000000e+00
3.380009999999999959e+00 -9.035183400292533251e-02 9.035183400292533251e-02 0.000000000000000000e+00
3.390010000000000190e+00 -8.981134608357907445e-02 8.981134608357907445e-02 0.000000000000000000e+00
3.400009999999999977e+00 -8.927409138410552503e-02 8.927409138410552503e-02 0.000000000000000000e+00
3.410010000000000208e+00 -8.874005056314449025e-02 8.874005056314449025e-02 0.000000000000000000e+00
3.420009999999999994e+00 -8.820920439726406825e-02 8.820920439726406825e-02 0.000000000000000000e+00
3.430009999999999781e+00 -8.768153377617296518e-02 8.768153377617296518e-02 0.000000000000000000e+00
3.440010000000000012e+00 -8.715701970447947700e-02 8.715701970447947700e-02 0.000000000000000000e+00
3.450009999999999799e+00 -8.663564328511386137e-02 8.663564328511386137e-02 0.000000000000000000e+00
3.460010000000000030e+00 -8.611738575645404292e-02 8.611738575645404292e-02 0.000000000000000000e+00
3.470009999999999817e+00 -8.560222846086941451e-02 8.560222846086941451e-02 0.000000000000000000e+00
3.480010000000000048e+00 -8.509015285178056498e-02 8.509015285151966257e-02 0.000000000000000000e+00
3.490009999999999835e+00 -8.458114049135058432e-02 8.458114049109045907e-02 0.000000000000000000e+00
3.500010000000000066e+00 -8.407517305560122112e-02 8.407517305560122112e-02 0.000000000000000000e+00
3.510009999999999852e+00 -8.357223232818149217e-02 8.357223232818149217e-02 0.000000000000000000e+00
3.520010000000000083e+00 -8.307230021860136093e-02 8.307230021860136093e-02 0.000000000000000000e+00
3.530009999999999870e+00 -8.257535871908736058e-02 8.257535871908736058e-02 0.000000000000000000e+00
3.540010000000000101e+00 -8.208138994074450079e-02 8.208138994074450079e-02 0.000000000000000000e+00
3.550009999999999888e+00 -8.159037610205477353e-02 8.159037610205477353e-02 0.000000000000000000e+00
