time P_D P_L P_R P_V P_{tot}
4.327590264290000377e+00 -5.086419088510151729e-85 8.946439045273400326e-250 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.337590264290000164e+00 -5.086419088510151729e-85 1.115681072352847657e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.347590264289999951e+00 -5.086419088510151729e-85 1.336718240173748858e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.357590264289999737e+00 -5.086419088510151729e-85 1.557755407994650182e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.367590264290000412e+00 -5.086419088510151729e-85 1.778792575815551259e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.377590264290000199e+00 -5.086419088510151729e-85 1.881985738784330294e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.387590264289999986e+00 -5.086419088510151729e-85 1.845146210811877089e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.397590264289999773e+00 -5.086419088510151729e-85 1.808306682844029935e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.407590264289999560e+00 -5.086419088510151729e-85 1.771467154871576482e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.417590264290000235e+00 -5.086419088510151729e-85 1.734627626903729576e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.427590264290000022e+00 -5.086419088510151729e-85 1.697788098931276123e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.437590264289999809e+00 -5.086419088510151729e-85 1.660948570958822918e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.447590264289999595e+00 -5.086419088510151729e-85 1.624109042990975764e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.457590264290000270e+00 -5.086419088510151729e-85 1.587269515018522311e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.467590264290000057e+00 -5.086419088510151729e-85 1.550429987050675157e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.477590264289999844e+00 -5.086419088510151729e-85 1.513590459078222200e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.487590264289999631e+00 -5.086419088510151729e-85 1.476750931110374798e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.497590264290000306e+00 -5.086419088510151729e-85 1.439911403137921593e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
4.507590264290000093e+00 -5.086419088510151729e-85 1.403071875170074688e-249 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
