time	y	v	a
4.88612288417	0.27060549458	4.2157884278	-9.81
4.89612288417	0.312272878846	4.1176884278	-9.81
4.90612288417	0.352959263114	4.0195884278	-9.81
4.91612288417	0.392664647384	3.9214884278	-9.81
4.92612288417	0.431389031656	3.8233884278	-9.81
4.93612288417	0.469132415929	3.7252884278	-9.81
4.94612288417	0.505894800201	3.6271884278	-9.81
4.95612288417	0.541676184472	3.5290884278	-9.81
4.96612288417	0.576476568744	3.4309884278	-9.81
4.97612288417	0.610295953016	3.33288842781	-9.81
4.98612288417	0.643134337289	3.23478842781	-9.81
4.99612288417	0.674991721563	3.13668842781	-9.81
5.00612288417	0.705868105836	3.03858842781	-9.81
5.01612288417	0.735763490111	2.94048842781	-9.81
5.02612288417	0.764677874385	2.84238842781	-9.81
5.03612288417	0.79261125866	2.74428842781	-9.81
5.04612288417	0.819563642936	2.64618842781	-9.81
5.05612288417	0.845535027211	2.54808842781	-9.81
5.06612288417	0.870525411485	2.44998842781	-9.81
5.07612288417	0.894534795759	2.35188842781	-9.81
5.08612288417	0.917563180034	2.25378842781	-9.81
5.09612288417	0.939610564309	2.15568842781	-9.81
5.10612288417	0.960676948583	2.05758842781	-9.81
5.11612288417	0.980762332858	1.95948842781	-9.81
5.12612288417	0.999866717134	1.86138842781	-9.81
5.13612288417	1.01799010141	1.76328842781	-9.81
5.14612288417	1.03513248568	1.66518842781	-9.81
5.15612288417	1.05129386996	1.56708842781	-9.81
5.16612288417	1.06647425424	1.46898842781	-9.81
5.17612288417	1.08067363851	1.37088842781	-9.81
5.18612288417	1.09389202279	1.27278842781	-9.81
5.19612288417	1.10612940706	1.17468842781	-9.81
5.20612288417	1.11738579134	1.07658842781	-9.81
5.21612288417	1.12766117562	0.978488427805	-9.81
5.22612288417	1.13695555989	0.880388427805	-9.81
5.23612288417	1.14526894417	0.782288427805	-9.81
5.24612288417	1.15260132845	0.684188427805	-9.81
5.25612288417	1.15895271272	0.586088427805	-9.81
5.26612288417	1.164323097	0.487988427805	-9.81
5.27612288417	1.16871248128	0.389888427805	-9.81
5.28612288417	1.17212086555	0.291788427805	-9.81
5.29612288417	1.17454824983	0.193688427805	-9.81
5.30612288417	1.1759946341	0.0955884278051	-9.81
5.31612288417	1.17646001838	-0.00251157219492	-9.81
5.32612288417	1.17594440266	-0.100611572195	-9.81
5.33612288417	1.17444778693	-0.198711572195	-9.81
